Week,Tm_home,First Downs_home,Net Pass Yards_home,Total Yards_home,Turnovers_home,Time of Possession_home,QB_prssd_home,1Q_home,2Q_home,3Q_home,4Q_home,Final_home,Year_home,Tm_away,First Downs_away,Net Pass Yards_away,Total Yards_away,Turnovers_away,Time of Possession_away,QB_prssd_away,1Q_away,2Q_away,3Q_away,4Q_away,Final_away,Year_away,Rush Att_home,Rush Yds_home,Rush Tds_home,Pass Cmp_home,Pass Att_home,Pass Yds_home,Pass Tds_home,INT_home,Sacks_home,Sack Yrds_home,Penalties_home,Penalty Yards_home,Fumbles_home,Fumbles Lost_home,Fourth Down Att_home,Third Down Att_home,Rush Att_away,Rush Yds_away,Rush Tds_away,Pass Cmp_away,Pass Att_away,Pass Yds_away,Pass Tds_away,INT_away,Sacks_away,Sack Yrds_away,Penalties_away,Penalty Yards_away,Fumbles_away,Fumbles Lost_away,Fourth Down Att_away,Third Down Att_away
10,TAM,26,258,419,2,36.55,0,0,14,0,7,21,2022,SEA,19,244,283,1,23.05,8,0,0,3,13,16,2022,44,161,1,22,30,258,2,2,0,0,4,40,0,0,0,15,14,39,0,23,33,275,2,0,3,31,6,46,1,1,46,9
10,SFO,22,230,387,1,36.59,2,3,7,3,9,22,2022,LAC,12,187,238,1,23.01,8,7,9,0,0,16,2022,41,157,2,19,28,240,0,0,1,10,5,52,1,1,1,17,16,51,0,21,37,196,1,1,3,9,1,5,1,0,5,16
5,BAL,22,170,325,1,29.59,9,3,7,3,6,19,2022,CIN,20,190,291,1,30.01,4,0,10,0,7,17,2022,28,155,0,19,32,174,1,1,1,4,6,48,1,0,1,11,21,101,1,24,35,217,1,1,3,27,4,20,0,0,20,10
1,SEA,19,177,253,1,26.21,8,7,10,0,0,17,2022,DEN,20,330,433,2,33.39,16,3,10,0,3,16,2022,19,76,0,23,28,195,2,0,2,18,5,77,3,1,1,11,20,103,0,29,42,340,1,0,2,10,12,106,2,2,106,15
4,ATL,19,131,333,1,24.16,6,10,0,0,13,23,2022,CLE,22,226,403,2,35.44,7,0,10,3,7,20,2022,35,202,2,7,19,139,0,1,1,8,1,15,1,0,0,9,35,177,2,21,35,234,0,1,1,8,7,51,1,1,51,14
12,MIA,25,273,339,1,32.27,2,10,20,0,0,30,2022,HOU,14,174,210,3,27.33,12,0,0,6,9,15,2022,26,66,1,23,41,305,1,0,5,32,4,35,1,1,1,15,14,36,1,26,39,215,1,2,5,41,5,45,3,1,45,13
12,ARI,20,185,366,2,30.35,4,7,10,0,7,24,2022,LAC,22,246,311,0,29.25,16,0,14,3,8,25,2022,34,181,1,18,29,191,2,1,1,6,3,19,1,1,1,13,13,65,0,35,47,274,3,0,4,28,4,30,1,0,30,13
8,TAM,20,305,349,1,21.37,6,10,0,0,12,22,2022,BAL,27,222,453,0,38.23,5,3,0,14,10,27,2022,15,44,1,26,44,325,1,0,3,20,4,35,1,1,1,13,33,231,1,27,38,238,2,0,3,16,7,101,0,0,101,13
3,CHI,17,82,363,2,31.22,10,10,3,7,3,23,2022,HOU,17,237,329,2,28.38,9,7,7,6,0,20,2022,40,281,2,8,17,106,0,2,5,24,6,32,2,0,0,14,24,92,1,20,32,245,1,2,1,8,3,25,3,0,25,12
11,IND,14,185,284,1,30.38,10,7,3,3,3,16,2022,PHI,18,173,314,2,29.22,6,0,3,0,14,17,2022,26,99,1,23,32,213,0,0,4,28,8,90,2,1,1,15,33,141,1,18,25,190,1,0,3,17,7,55,4,2,55,12
2,BUF,23,313,414,0,31.34,1,7,10,24,0,41,2022,TEN,12,107,187,4,28.26,4,7,0,0,0,7,2022,24,101,0,26,40,317,4,0,1,4,8,49,0,0,3,13,27,80,1,12,24,123,0,2,2,16,9,87,3,2,87,12
2,NOR,18,208,308,5,30.18,10,3,0,0,7,10,2022,TAM,13,188,260,1,29.42,2,0,0,3,17,20,2022,20,100,0,25,40,236,1,3,6,28,9,60,4,2,1,13,30,72,0,18,34,190,1,0,1,2,8,101,1,1,101,17
2,PIT,16,152,243,2,26.24,3,0,3,3,8,14,2022,NWE,18,252,376,1,33.36,5,3,7,7,0,17,2022,22,91,0,21,33,168,1,1,3,16,3,20,1,1,0,15,31,124,1,21,35,252,1,1,0,0,7,55,0,0,55,17
5,GNB,22,207,301,0,27.49,10,10,10,0,2,22,2022,NYG,24,213,338,0,32.11,6,3,7,3,14,27,2022,20,94,0,25,39,222,2,0,2,15,7,37,2,0,1,10,31,125,3,21,27,217,0,0,1,4,6,63,1,0,63,11
9,KAN,29,422,499,1,41.28,13,3,6,0,8,20,2022,TEN,9,57,229,0,26.23,8,0,14,3,0,17,2022,19,77,1,43,68,446,1,1,4,24,10,69,0,0,2,19,29,172,2,5,16,80,0,0,3,23,8,51,0,0,51,11
